"TIME,""GEO"",""UNIT"",""SECTOR"",""NA_ITEM"",""Value"",""Flag and Footnotes"""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1976,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1977,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1978,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1979,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1980,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1981,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1982,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1983,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""State government"",""Total general government revenue"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government expenditure"","":"","""""
"1984,""Spain"",""Percentage of gross domestic product (GDP)"",""Local government"",""Total general government revenue"","":"","""""
"1985,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1985,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1985,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1985,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1985,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1985,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1985,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1985,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1985,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1985,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1985,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1985,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1985,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1985,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
